problem_id,seed,experiment_type,iteration_0_completion_tokens,iteration_1_completion_tokens,iteration_2_completion_tokens,iteration_3_completion_tokens,iteration_4_completion_tokens
0,seed0,backtracking,,3078.0,3092.0,3896.0,3117.0
1,seed0,backtracking,,2175.0,2277.0,1952.0,2563.0
10,seed0,backtracking,,8192.0,6883.0,5892.0,8192.0
11,seed0,backtracking,,8192.0,6597.0,6509.0,8192.0
12,seed0,backtracking,,8192.0,8192.0,8192.0,8192.0
13,seed0,backtracking,,8192.0,4480.0,3907.0,3269.0
14,seed0,backtracking,,8192.0,8192.0,8192.0,8192.0
15,seed0,backtracking,,3021.0,2714.0,3632.0,2957.0
16,seed0,backtracking,,1931.0,1924.0,1511.0,1890.0
17,seed0,backtracking,,8192.0,8192.0,8192.0,8192.0
18,seed0,backtracking,,4215.0,3669.0,3109.0,2693.0
19,seed0,backtracking,,8192.0,8192.0,6675.0,4615.0
2,seed0,backtracking,,8192.0,8192.0,8192.0,8192.0
20,seed0,backtracking,,8192.0,8192.0,8192.0,8192.0
2024-I-1,seed0,backtracking,,2941.0,2592.0,2237.0,2451.0
2024-I-10,seed0,backtracking,,8192.0,8192.0,8192.0,8192.0
2024-I-11,seed0,backtracking,,8192.0,8192.0,8192.0,8192.0
2024-I-12,seed0,backtracking,,8192.0,8192.0,8192.0,8192.0
2024-I-13,seed0,backtracking,,4919.0,2602.0,2853.0,5070.0
2024-I-14,seed0,backtracking,,4229.0,3737.0,8192.0,8192.0
2024-I-15,seed0,backtracking,,5437.0,3682.0,5008.0,3175.0
2024-I-2,seed0,backtracking,,8192.0,6729.0,2324.0,5097.0
2024-I-3,seed0,backtracking,,2514.0,2438.0,2465.0,2155.0
2024-I-4,seed0,backtracking,,2547.0,1830.0,2238.0,1926.0
2024-I-5,seed0,backtracking,,8192.0,8192.0,8067.0,5763.0
2024-I-6,seed0,backtracking,,3253.0,2525.0,1719.0,1812.0
2024-I-7,seed0,backtracking,,3123.0,2641.0,5396.0,2347.0
2024-I-8,seed0,backtracking,,8192.0,8192.0,8192.0,8192.0
2024-I-9,seed0,backtracking,,8192.0,4413.0,4371.0,2849.0
2024-II-1,seed0,backtracking,,3457.0,2957.0,2531.0,4589.0
2024-II-10,seed0,backtracking,,8192.0,4829.0,5703.0,5135.0
2024-II-11,seed0,backtracking,,8192.0,5505.0,4199.0,4058.0
2024-II-12,seed0,backtracking,,7039.0,3371.0,2735.0,5178.0
2024-II-13,seed0,backtracking,,8192.0,3918.0,3889.0,3582.0
2024-II-14,seed0,backtracking,,8192.0,8192.0,8192.0,6039.0
2024-II-15,seed0,backtracking,,8192.0,8192.0,8192.0,8192.0
2024-II-2,seed0,backtracking,,5651.0,5380.0,4131.0,3561.0
2024-II-3,seed0,backtracking,,3791.0,4558.0,4701.0,1994.0
2024-II-4,seed0,backtracking,,2910.0,3396.0,3480.0,2534.0
