id,question,solution,answer,nums
countdown_custom_4_001,"Using all numbers from [95, 89, 47, 24], create an equation that equals 17.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",((47 - 24) - (95 - 89)),17,"[95, 89, 47, 24]"
countdown_custom_4_002,"Using all numbers from [31, 38, 1, 22], create an equation that equals 3.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",((31 + 38) / (1 + 22)),3,"[31, 38, 1, 22]"
countdown_custom_4_003,"Using all numbers from [76, 34, 58, 6], create an equation that equals 46.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",((76 + 34) - (58 + 6)),46,"[76, 34, 58, 6]"
countdown_custom_4_004,"Using all numbers from [81, 30, 71, 62], create an equation that equals 3.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",(((81 + 71) - 62) / 30),3,"[81, 30, 71, 62]"
countdown_custom_4_005,"Using all numbers from [78, 58, 14, 43], create an equation that equals 76.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",(78 - (58 / (43 - 14))),76,"[78, 58, 14, 43]"
countdown_custom_4_006,"Using all numbers from [89, 5, 48, 51], create an equation that equals 81.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",((89 - 5) - (51 - 48)),81,"[89, 5, 48, 51]"
countdown_custom_4_007,"Using all numbers from [40, 50, 23, 92], create an equation that equals 59.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",((92 - 23) - (50 - 40)),59,"[40, 50, 23, 92]"
countdown_custom_4_008,"Using all numbers from [79, 5, 64, 45], create an equation that equals 48.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",(45 + ((79 - 64) / 5)),48,"[79, 5, 64, 45]"
countdown_custom_4_009,"Using all numbers from [14, 80, 39, 67], create an equation that equals 38.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",((80 - 14) - (67 - 39)),38,"[14, 80, 39, 67]"
countdown_custom_4_010,"Using all numbers from [81, 44, 5, 42], create an equation that equals 71.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",(81 - (5 * (44 - 42))),71,"[81, 44, 5, 42]"
countdown_custom_4_011,"Using all numbers from [47, 97, 49, 67], create an equation that equals 60.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",((49 - 47) * (97 - 67)),60,"[47, 97, 49, 67]"
countdown_custom_4_012,"Using all numbers from [86, 36, 17, 69], create an equation that equals 37.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",(36 + ((86 - 17) / 69)),37,"[86, 36, 17, 69]"
countdown_custom_4_013,"Using all numbers from [24, 73, 38, 67], create an equation that equals 84.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",((38 - 24) * (73 - 67)),84,"[24, 73, 38, 67]"
countdown_custom_4_014,"Using all numbers from [45, 61, 22, 25], create an equation that equals 76.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",(61 + (45 / (25 - 22))),76,"[45, 61, 22, 25]"
countdown_custom_4_015,"Using all numbers from [15, 1, 23, 57], create an equation that equals 66.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",((23 + 57) - (15 - 1)),66,"[15, 1, 23, 57]"
countdown_custom_4_016,"Using all numbers from [91, 19, 36, 54], create an equation that equals 18.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",((36 + 54) - (91 - 19)),18,"[91, 19, 36, 54]"
countdown_custom_4_017,"Using all numbers from [12, 52, 92, 85], create an equation that equals 33.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",((52 - 12) - (92 - 85)),33,"[12, 52, 92, 85]"
countdown_custom_4_018,"Using all numbers from [73, 40, 58, 11], create an equation that equals 36.

Rules:
- You must use every single number in your answer and each number can only be used once (i.e. if input numbers are [1, 2, 3, 4], then your answer must be composed of 1,2,3,4 where each number only appears once.)
- Available operations: addition (+), subtraction (-), multiplication (*), division (/)
- Use parentheses to control order of operations

- For each list of input numbers, and a given target number, you are guaranteed that there exists a valid solution using the given rules.

Return your final equation in <answer> </answer> tags, for example if your answer is (1 + 2) * 3 - 4, then return <answer> (1 + 2) * 3 - 4 </answer>.

",((58 + 11) - (73 - 40)),36,"[73, 40, 58, 11]"
