problem_id,correct_answer_gt,iteration_0_answer,iteration_0_correct,iteration_1_answer,iteration_1_correct,iteration_2_answer,iteration_2_correct,iteration_3_answer,iteration_3_correct,iteration_4_answer,iteration_4_correct,seed,experiment_type,source_file
0,468,468,True,468,True,468,True,468,True,468,True,seed0,backtracking_results,seed0_backtracking_results.json
1,49,49,True,49,True,49,True,49,True,49,True,seed0,backtracking_results,seed0_backtracking_results.json
10,113,12,False,12,False,12,False,12,False,12,False,seed0,backtracking_results,seed0_backtracking_results.json
11,19,71,False,19,True,19,True,19,True,19,True,seed0,backtracking_results,seed0_backtracking_results.json
12,248,396,False,36,False,36,False,36,False,36,False,seed0,backtracking_results,seed0_backtracking_results.json
13,104,104,True,104,True,104,True,104,True,104,True,seed0,backtracking_results,seed0_backtracking_results.json
14,240,286,False,286,False,286,False,286,False,286,False,seed0,backtracking_results,seed0_backtracking_results.json
15,468,468,True,468,True,468,True,468,True,468,True,seed0,backtracking_results,seed0_backtracking_results.json
16,49,49,True,49,True,49,True,49,True,49,True,seed0,backtracking_results,seed0_backtracking_results.json
17,82,12,False,12,False,12,False,12,False,12,False,seed0,backtracking_results,seed0_backtracking_results.json
18,106,993,False,106,True,106,True,106,True,106,True,seed0,backtracking_results,seed0_backtracking_results.json
19,336,300,False,300,False,300,False,300,False,300,False,seed0,backtracking_results,seed0_backtracking_results.json
2,82,6,False,6,False,6,False,6,False,6,False,seed0,backtracking_results,seed0_backtracking_results.json
20,293,581,False,439,False,439,False,439,False,439,False,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-1,204,204,True,204,True,204,True,204,True,204,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-10,113,113,True,113,True,113,True,113,True,113,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-11,371,137,False,149,False,9,False,149,False,371,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-12,385,72,False,72,False,72,False,72,False,72,False,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-13,110,110,True,110,True,110,True,110,True,110,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-14,104,104,True,104,True,104,True,236,False,104,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-15,721,721,True,721,True,721,True,721,True,721,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-2,25,25,True,25,True,25,True,25,True,25,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-3,809,809,True,809,True,809,True,809,True,809,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-4,116,116,True,116,True,116,True,116,True,116,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-5,104,104,True,104,True,107,False,104,True,104,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-6,294,294,True,294,True,294,True,294,True,294,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-7,540,540,True,540,True,540,True,540,True,540,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-8,197,35,False,35,False,273,False,273,False,273,False,seed0,backtracking_results,seed0_backtracking_results.json
2024-I-9,480,480,True,479,False,480,True,480,True,480,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-1,73,73,True,73,True,73,True,73,True,73,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-10,468,468,True,429,False,468,True,429,False,468,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-11,601,601,True,601,True,601,True,601,True,601,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-12,23,23,True,23,True,23,True,23,True,23,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-13,321,321,True,321,True,321,True,321,True,321,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-14,211,211,True,211,True,211,True,211,True,211,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-15,315,108,False,108,False,108,False,108,False,108,False,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-2,236,236,True,236,True,236,True,236,True,236,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-3,45,,False,45,True,45,True,45,True,45,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-4,33,33,True,33,True,33,True,33,True,33,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-5,80,80,True,80,True,80,True,80,True,80,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-6,55,55,True,55,True,55,True,55,True,55,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-7,699,699,True,699,True,629,False,699,True,699,True,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-8,127,,False,7,False,7,False,7,False,7,False,seed0,backtracking_results,seed0_backtracking_results.json
2024-II-9,902,1024,False,,False,50,False,50,False,,False,seed0,backtracking_results,seed0_backtracking_results.json
21,237,237,True,237,True,237,True,237,True,237,True,seed0,backtracking_results,seed0_backtracking_results.json
22,610,610,True,805,False,610,True,610,True,610,True,seed0,backtracking_results,seed0_backtracking_results.json
23,149,149,True,159,False,159,False,149,True,149,True,seed0,backtracking_results,seed0_backtracking_results.json
24,907,779,False,907,True,952,False,907,True,907,True,seed0,backtracking_results,seed0_backtracking_results.json
25,113,1,False,12,False,21,False,12,False,21,False,seed0,backtracking_results,seed0_backtracking_results.json
26,19,19,True,19,True,19,True,19,True,19,True,seed0,backtracking_results,seed0_backtracking_results.json
27,248,36,False,36,False,36,False,936,False,936,False,seed0,backtracking_results,seed0_backtracking_results.json
28,104,140,False,104,True,104,True,104,True,104,True,seed0,backtracking_results,seed0_backtracking_results.json
29,240,,False,,False,194,False,194,False,194,False,seed0,backtracking_results,seed0_backtracking_results.json
3,106,106,True,106,True,106,True,106,True,106,True,seed0,backtracking_results,seed0_backtracking_results.json
4,336,300,False,300,False,300,False,300,False,300,False,seed0,backtracking_results,seed0_backtracking_results.json
5,293,389,False,293,True,293,True,293,True,293,True,seed0,backtracking_results,seed0_backtracking_results.json
6,237,237,True,237,True,237,True,237,True,237,True,seed0,backtracking_results,seed0_backtracking_results.json
7,610,600,False,610,True,610,True,200,False,800,False,seed0,backtracking_results,seed0_backtracking_results.json
8,149,149,True,149,True,149,True,149,True,149,True,seed0,backtracking_results,seed0_backtracking_results.json
9,907,896,False,56,False,896,False,896,False,896,False,seed0,backtracking_results,seed0_backtracking_results.json
0,468,468,True,468,True,468,True,468,True,468,True,seed0,base_sum_results,seed0_base_sum_results.json
1,49,49,True,49,True,49,True,49,True,49,True,seed0,base_sum_results,seed0_base_sum_results.json
10,113,12,False,1,False,1,False,1,False,1,False,seed0,base_sum_results,seed0_base_sum_results.json
11,19,71,False,19,True,71,False,19,True,19,True,seed0,base_sum_results,seed0_base_sum_results.json
12,248,396,False,208,False,208,False,208,False,208,False,seed0,base_sum_results,seed0_base_sum_results.json
13,104,104,True,104,True,104,True,104,True,104,True,seed0,base_sum_results,seed0_base_sum_results.json
14,240,286,False,286,False,286,False,286,False,286,False,seed0,base_sum_results,seed0_base_sum_results.json
15,468,468,True,468,True,468,True,468,True,468,True,seed0,base_sum_results,seed0_base_sum_results.json
16,49,49,True,49,True,49,True,49,True,49,True,seed0,base_sum_results,seed0_base_sum_results.json
17,82,12,False,12,False,12,False,12,False,12,False,seed0,base_sum_results,seed0_base_sum_results.json
18,106,993,False,106,True,106,True,106,True,106,True,seed0,base_sum_results,seed0_base_sum_results.json
19,336,300,False,300,False,300,False,300,False,336,True,seed0,base_sum_results,seed0_base_sum_results.json
2,82,6,False,82,True,6,False,6,False,6,False,seed0,base_sum_results,seed0_base_sum_results.json
20,293,581,False,581,False,73,False,73,False,73,False,seed0,base_sum_results,seed0_base_sum_results.json
2024-I-1,204,204,True,204,True,204,True,204,True,204,True,seed0,base_sum_results,seed0_base_sum_results.json
2024-I-10,113,113,True,113,True,113,True,113,True,113,True,seed0,base_sum_results,seed0_base_sum_results.json
2024-I-11,371,137,False,17,False,17,False,17,False,69,False,seed0,base_sum_results,seed0_base_sum_results.json
2024-I-12,385,72,False,72,False,72,False,72,False,72,False,seed0,base_sum_results,seed0_base_sum_results.json
