problem_id,year,correct_answer_gt,iteration_0_answer,iteration_0_correct,iteration_1_answer,iteration_1_correct,iteration_2_answer,iteration_2_correct,iteration_3_answer,iteration_3_correct,iteration_4_answer,iteration_4_correct,seed,experiment_type,source_file
0,2025,468,468,1,468,1,468,1,468,1,468,1,seed0,backtracking,seed0_backtracking_results.json
1,2025,49,49,1,49,1,49,1,49,1,49,1,seed0,backtracking,seed0_backtracking_results.json
10,2025,113,12,0,12,0,12,0,12,0,12,0,seed0,backtracking,seed0_backtracking_results.json
11,2025,19,71,0,19,1,19,1,19,1,19,1,seed0,backtracking,seed0_backtracking_results.json
12,2025,248,396,0,36,0,36,0,36,0,36,0,seed0,backtracking,seed0_backtracking_results.json
13,2025,104,104,1,104,1,104,1,104,1,104,1,seed0,backtracking,seed0_backtracking_results.json
14,2025,240,286,0,286,0,286,0,286,0,286,0,seed0,backtracking,seed0_backtracking_results.json
15,2025,468,468,1,468,1,468,1,468,1,468,1,seed0,backtracking,seed0_backtracking_results.json
16,2025,49,49,1,49,1,49,1,49,1,49,1,seed0,backtracking,seed0_backtracking_results.json
17,2025,82,12,0,12,0,12,0,12,0,12,0,seed0,backtracking,seed0_backtracking_results.json
18,2025,106,993,0,106,1,106,1,106,1,106,1,seed0,backtracking,seed0_backtracking_results.json
19,2025,336,300,0,300,0,300,0,300,0,300,0,seed0,backtracking,seed0_backtracking_results.json
2,2025,82,6,0,6,0,6,0,6,0,6,0,seed0,backtracking,seed0_backtracking_results.json
20,2025,293,581,0,439,0,439,0,439,0,439,0,seed0,backtracking,seed0_backtracking_results.json
2024-I-1,2024,204,204,1,204,1,204,1,204,1,204,1,seed0,backtracking,seed0_backtracking_results.json
2024-I-10,2024,113,113,1,113,1,113,1,113,1,113,1,seed0,backtracking,seed0_backtracking_results.json
2024-I-11,2024,371,137,0,149,0,9,0,149,0,371,1,seed0,backtracking,seed0_backtracking_results.json
2024-I-12,2024,385,72,0,72,0,72,0,72,0,72,0,seed0,backtracking,seed0_backtracking_results.json
2024-I-13,2024,110,110,1,110,1,110,1,110,1,110,1,seed0,backtracking,seed0_backtracking_results.json
2024-I-14,2024,104,104,1,104,1,104,1,236,0,104,1,seed0,backtracking,seed0_backtracking_results.json
2024-I-15,2024,721,721,1,721,1,721,1,721,1,721,1,seed0,backtracking,seed0_backtracking_results.json
2024-I-2,2024,25,25,1,25,1,25,1,25,1,25,1,seed0,backtracking,seed0_backtracking_results.json
2024-I-3,2024,809,809,1,809,1,809,1,809,1,809,1,seed0,backtracking,seed0_backtracking_results.json
2024-I-4,2024,116,116,1,116,1,116,1,116,1,116,1,seed0,backtracking,seed0_backtracking_results.json
2024-I-5,2024,104,104,1,104,1,107,0,104,1,104,1,seed0,backtracking,seed0_backtracking_results.json
2024-I-6,2024,294,294,1,294,1,294,1,294,1,294,1,seed0,backtracking,seed0_backtracking_results.json
2024-I-7,2024,540,540,1,540,1,540,1,540,1,540,1,seed0,backtracking,seed0_backtracking_results.json
2024-I-8,2024,197,35,0,35,0,273,0,273,0,273,0,seed0,backtracking,seed0_backtracking_results.json
2024-I-9,2024,480,480,1,479,0,480,1,480,1,480,1,seed0,backtracking,seed0_backtracking_results.json
2024-II-1,2024,73,73,1,73,1,73,1,73,1,73,1,seed0,backtracking,seed0_backtracking_results.json
2024-II-10,2024,468,468,1,429,0,468,1,429,0,468,1,seed0,backtracking,seed0_backtracking_results.json
2024-II-11,2024,601,601,1,601,1,601,1,601,1,601,1,seed0,backtracking,seed0_backtracking_results.json
2024-II-12,2024,23,23,1,23,1,23,1,23,1,23,1,seed0,backtracking,seed0_backtracking_results.json
2024-II-13,2024,321,321,1,321,1,321,1,321,1,321,1,seed0,backtracking,seed0_backtracking_results.json
2024-II-14,2024,211,211,1,211,1,211,1,211,1,211,1,seed0,backtracking,seed0_backtracking_results.json
2024-II-15,2024,315,108,0,108,0,108,0,108,0,108,0,seed0,backtracking,seed0_backtracking_results.json
2024-II-2,2024,236,236,1,236,1,236,1,236,1,236,1,seed0,backtracking,seed0_backtracking_results.json
2024-II-3,2024,45,,0,45,1,45,1,45,1,45,1,seed0,backtracking,seed0_backtracking_results.json
2024-II-4,2024,33,33,1,33,1,33,1,33,1,33,1,seed0,backtracking,seed0_backtracking_results.json
2024-II-5,2024,80,80,1,80,1,80,1,80,1,80,1,seed0,backtracking,seed0_backtracking_results.json
2024-II-6,2024,55,55,1,55,1,55,1,55,1,55,1,seed0,backtracking,seed0_backtracking_results.json
2024-II-7,2024,699,699,1,699,1,629,0,699,1,699,1,seed0,backtracking,seed0_backtracking_results.json
2024-II-8,2024,127,,0,7,0,7,0,7,0,7,0,seed0,backtracking,seed0_backtracking_results.json
2024-II-9,2024,902,1024,0,,0,50,0,50,0,,0,seed0,backtracking,seed0_backtracking_results.json
21,2025,237,237,1,237,1,237,1,237,1,237,1,seed0,backtracking,seed0_backtracking_results.json
22,2025,610,610,1,805,0,610,1,610,1,610,1,seed0,backtracking,seed0_backtracking_results.json
23,2025,149,149,1,159,0,159,0,149,1,149,1,seed0,backtracking,seed0_backtracking_results.json
24,2025,907,779,0,907,1,952,0,907,1,907,1,seed0,backtracking,seed0_backtracking_results.json
25,2025,113,1,0,12,0,21,0,12,0,21,0,seed0,backtracking,seed0_backtracking_results.json
26,2025,19,19,1,19,1,19,1,19,1,19,1,seed0,backtracking,seed0_backtracking_results.json
27,2025,248,36,0,36,0,36,0,936,0,936,0,seed0,backtracking,seed0_backtracking_results.json
28,2025,104,140,0,104,1,104,1,104,1,104,1,seed0,backtracking,seed0_backtracking_results.json
29,2025,240,,0,,0,194,0,194,0,194,0,seed0,backtracking,seed0_backtracking_results.json
3,2025,106,106,1,106,1,106,1,106,1,106,1,seed0,backtracking,seed0_backtracking_results.json
4,2025,336,300,0,300,0,300,0,300,0,300,0,seed0,backtracking,seed0_backtracking_results.json
5,2025,293,389,0,293,1,293,1,293,1,293,1,seed0,backtracking,seed0_backtracking_results.json
6,2025,237,237,1,237,1,237,1,237,1,237,1,seed0,backtracking,seed0_backtracking_results.json
7,2025,610,600,0,610,1,610,1,200,0,800,0,seed0,backtracking,seed0_backtracking_results.json
8,2025,149,149,1,149,1,149,1,149,1,149,1,seed0,backtracking,seed0_backtracking_results.json
9,2025,907,896,0,56,0,896,0,896,0,896,0,seed0,backtracking,seed0_backtracking_results.json
0,2025,468,468,1,468,1,468,1,468,1,468,1,seed0,base_sum,seed0_base_sum_results.json
1,2025,49,49,1,49,1,49,1,49,1,49,1,seed0,base_sum,seed0_base_sum_results.json
10,2025,113,12,0,1,0,1,0,1,0,1,0,seed0,base_sum,seed0_base_sum_results.json
11,2025,19,71,0,19,1,71,0,19,1,19,1,seed0,base_sum,seed0_base_sum_results.json
12,2025,248,396,0,208,0,208,0,208,0,208,0,seed0,base_sum,seed0_base_sum_results.json
13,2025,104,104,1,104,1,104,1,104,1,104,1,seed0,base_sum,seed0_base_sum_results.json
14,2025,240,286,0,286,0,286,0,286,0,286,0,seed0,base_sum,seed0_base_sum_results.json
15,2025,468,468,1,468,1,468,1,468,1,468,1,seed0,base_sum,seed0_base_sum_results.json
16,2025,49,49,1,49,1,49,1,49,1,49,1,seed0,base_sum,seed0_base_sum_results.json
17,2025,82,12,0,12,0,12,0,12,0,12,0,seed0,base_sum,seed0_base_sum_results.json
18,2025,106,993,0,106,1,106,1,106,1,106,1,seed0,base_sum,seed0_base_sum_results.json
19,2025,336,300,0,300,0,300,0,300,0,336,1,seed0,base_sum,seed0_base_sum_results.json
2,2025,82,6,0,82,1,6,0,6,0,6,0,seed0,base_sum,seed0_base_sum_results.json
20,2025,293,581,0,581,0,73,0,73,0,73,0,seed0,base_sum,seed0_base_sum_results.json
2024-I-1,2024,204,204,1,204,1,204,1,204,1,204,1,seed0,base_sum,seed0_base_sum_results.json
2024-I-10,2024,113,113,1,113,1,113,1,113,1,113,1,seed0,base_sum,seed0_base_sum_results.json
2024-I-11,2024,371,137,0,17,0,17,0,17,0,69,0,seed0,base_sum,seed0_base_sum_results.json
2024-I-12,2024,385,72,0,72,0,72,0,72,0,72,0,seed0,base_sum,seed0_base_sum_results.json
2024-I-13,2024,110,110,1,110,1,110,1,110,1,110,1,seed0,base_sum,seed0_base_sum_results.json
2024-I-14,2024,104,104,1,104,1,104,1,104,1,104,1,seed0,base_sum,seed0_base_sum_results.json
2024-I-15,2024,721,721,1,721,1,721,1,721,1,721,1,seed0,base_sum,seed0_base_sum_results.json
2024-I-2,2024,25,25,1,25,1,25,1,25,1,25,1,seed0,base_sum,seed0_base_sum_results.json
2024-I-3,2024,809,809,1,809,1,809,1,809,1,809,1,seed0,base_sum,seed0_base_sum_results.json
2024-I-4,2024,116,116,1,116,1,116,1,116,1,116,1,seed0,base_sum,seed0_base_sum_results.json
2024-I-5,2024,104,104,1,107,0,107,0,107,0,107,0,seed0,base_sum,seed0_base_sum_results.json
2024-I-6,2024,294,294,1,294,1,294,1,294,1,294,1,seed0,base_sum,seed0_base_sum_results.json
2024-I-7,2024,540,540,1,540,1,540,1,540,1,540,1,seed0,base_sum,seed0_base_sum_results.json
2024-I-8,2024,197,35,0,270,0,273,0,270,0,270,0,seed0,base_sum,seed0_base_sum_results.json
2024-I-9,2024,480,480,1,480,1,479,0,479,0,479,0,seed0,base_sum,seed0_base_sum_results.json
2024-II-1,2024,73,73,1,73,1,73,1,73,1,73,1,seed0,base_sum,seed0_base_sum_results.json
2024-II-10,2024,468,468,1,468,1,429,0,429,0,468,1,seed0,base_sum,seed0_base_sum_results.json
2024-II-11,2024,601,601,1,601,1,601,1,601,1,601,1,seed0,base_sum,seed0_base_sum_results.json
2024-II-12,2024,23,23,1,23,1,23,1,23,1,23,1,seed0,base_sum,seed0_base_sum_results.json
2024-II-13,2024,321,321,1,321,1,321,1,321,1,321,1,seed0,base_sum,seed0_base_sum_results.json
2024-II-14,2024,211,211,1,361,0,211,1,211,1,211,1,seed0,base_sum,seed0_base_sum_results.json
2024-II-15,2024,315,108,0,108,0,108,0,108,0,108,0,seed0,base_sum,seed0_base_sum_results.json
2024-II-2,2024,236,236,1,236,1,236,1,236,1,236,1,seed0,base_sum,seed0_base_sum_results.json
2024-II-3,2024,45,,0,45,1,45,1,45,1,45,1,seed0,base_sum,seed0_base_sum_results.json
2024-II-4,2024,33,33,1,33,1,33,1,33,1,33,1,seed0,base_sum,seed0_base_sum_results.json
2024-II-5,2024,80,80,1,80,1,80,1,80,1,80,1,seed0,base_sum,seed0_base_sum_results.json
2024-II-6,2024,55,55,1,55,1,55,1,55,1,55,1,seed0,base_sum,seed0_base_sum_results.json
2024-II-7,2024,699,699,1,699,1,699,1,699,1,699,1,seed0,base_sum,seed0_base_sum_results.json
2024-II-8,2024,127,,0,5,0,5,0,5,0,7,0,seed0,base_sum,seed0_base_sum_results.json
2024-II-9,2024,902,1024,0,18,0,18,0,18,0,18,0,seed0,base_sum,seed0_base_sum_results.json
21,2025,237,237,1,237,1,237,1,237,1,237,1,seed0,base_sum,seed0_base_sum_results.json
22,2025,610,610,1,610,1,610,1,610,1,610,1,seed0,base_sum,seed0_base_sum_results.json
23,2025,149,149,1,149,1,149,1,149,1,149,1,seed0,base_sum,seed0_base_sum_results.json
24,2025,907,779,0,907,1,797,0,907,1,907,1,seed0,base_sum,seed0_base_sum_results.json
25,2025,113,1,0,1,0,1,0,730,0,1,0,seed0,base_sum,seed0_base_sum_results.json
26,2025,19,19,1,19,1,19,1,19,1,19,1,seed0,base_sum,seed0_base_sum_results.json
27,2025,248,36,0,208,0,208,0,36,0,208,0,seed0,base_sum,seed0_base_sum_results.json
28,2025,104,140,0,104,1,104,1,104,1,104,1,seed0,base_sum,seed0_base_sum_results.json
29,2025,240,,0,194,0,195,0,194,0,194,0,seed0,base_sum,seed0_base_sum_results.json
3,2025,106,106,1,106,1,106,1,106,1,106,1,seed0,base_sum,seed0_base_sum_results.json
4,2025,336,300,0,300,0,300,0,336,1,336,1,seed0,base_sum,seed0_base_sum_results.json
5,2025,293,389,0,293,1,293,1,,0,293,1,seed0,base_sum,seed0_base_sum_results.json
6,2025,237,237,1,237,1,237,1,,0,237,1,seed0,base_sum,seed0_base_sum_results.json
7,2025,610,600,0,610,1,600,0,610,1,610,1,seed0,base_sum,seed0_base_sum_results.json
8,2025,149,149,1,149,1,149,1,149,1,149,1,seed0,base_sum,seed0_base_sum_results.json
9,2025,907,896,0,974,0,974,0,974,0,974,0,seed0,base_sum,seed0_base_sum_results.json
0,2025,468,468,1,468,1,468,1,468,1,468,1,seed0,firstk,seed0_firstk_results.json
1,2025,49,49,1,49,1,49,1,49,1,49,1,seed0,firstk,seed0_firstk_results.json
10,2025,113,12,0,12,0,1,0,15,0,12,0,seed0,firstk,seed0_firstk_results.json
11,2025,19,71,0,19,1,19,1,19,1,53,0,seed0,firstk,seed0_firstk_results.json
12,2025,248,396,0,896,0,308,0,424,0,724,0,seed0,firstk,seed0_firstk_results.json
13,2025,104,104,1,104,1,105,0,104,1,105,0,seed0,firstk,seed0_firstk_results.json
14,2025,240,286,0,188,0,188,0,188,0,188,0,seed0,firstk,seed0_firstk_results.json
15,2025,468,468,1,468,1,468,1,535,0,468,1,seed0,firstk,seed0_firstk_results.json
16,2025,49,49,1,49,1,49,1,49,1,49,1,seed0,firstk,seed0_firstk_results.json
17,2025,82,12,0,28,0,6,0,18,0,140,0,seed0,firstk,seed0_firstk_results.json
18,2025,106,993,0,106,1,6017,0,106,1,106,1,seed0,firstk,seed0_firstk_results.json
19,2025,336,300,0,336,1,336,1,330,0,360,0,seed0,firstk,seed0_firstk_results.json
2,2025,82,6,0,54,0,80,0,10,0,6,0,seed0,firstk,seed0_firstk_results.json
20,2025,293,581,0,149,0,73,0,223,0,25,0,seed0,firstk,seed0_firstk_results.json
2024-I-1,2024,204,204,1,204,1,204,1,204,1,204,1,seed0,firstk,seed0_firstk_results.json
2024-I-10,2024,113,113,1,127,0,113,1,113,1,113,1,seed0,firstk,seed0_firstk_results.json
2024-I-11,2024,371,137,0,151,0,17,0,143,0,163,0,seed0,firstk,seed0_firstk_results.json
2024-I-12,2024,385,72,0,72,0,729,0,12,0,12,0,seed0,firstk,seed0_firstk_results.json
2024-I-13,2024,110,110,1,155,0,110,1,155,0,155,0,seed0,firstk,seed0_firstk_results.json
2024-I-14,2024,104,104,1,104,1,94,0,104,1,236,0,seed0,firstk,seed0_firstk_results.json
2024-I-15,2024,721,721,1,721,1,721,1,721,1,721,1,seed0,firstk,seed0_firstk_results.json
2024-I-2,2024,25,25,1,25,1,25,1,25,1,25,1,seed0,firstk,seed0_firstk_results.json
2024-I-3,2024,809,809,1,809,1,809,1,809,1,809,1,seed0,firstk,seed0_firstk_results.json
2024-I-4,2024,116,116,1,116,1,116,1,116,1,116,1,seed0,firstk,seed0_firstk_results.json
2024-I-5,2024,104,104,1,104,1,107,0,77,0,107,0,seed0,firstk,seed0_firstk_results.json
2024-I-6,2024,294,294,1,294,1,294,1,294,1,294,1,seed0,firstk,seed0_firstk_results.json
2024-I-7,2024,540,540,1,540,1,540,1,540,1,540,1,seed0,firstk,seed0_firstk_results.json
2024-I-8,2024,197,35,0,287,0,254,0,144,0,35,0,seed0,firstk,seed0_firstk_results.json
2024-I-9,2024,480,480,1,480,1,480,1,80,0,880,0,seed0,firstk,seed0_firstk_results.json
2024-II-1,2024,73,73,1,73,1,73,1,73,1,73,1,seed0,firstk,seed0_firstk_results.json
2024-II-10,2024,468,468,1,468,1,468,1,468,1,468,1,seed0,firstk,seed0_firstk_results.json
2024-II-11,2024,601,601,1,6,0,13,0,601,1,7,0,seed0,firstk,seed0_firstk_results.json
2024-II-12,2024,23,23,1,23,1,23,1,23,1,23,1,seed0,firstk,seed0_firstk_results.json
2024-II-13,2024,321,321,1,065,0,321,1,321,1,321,1,seed0,firstk,seed0_firstk_results.json
2024-II-14,2024,211,211,1,121,0,211,1,211,1,211,1,seed0,firstk,seed0_firstk_results.json
2024-II-15,2024,315,108,0,12,0,30,0,27,0,18,0,seed0,firstk,seed0_firstk_results.json
2024-II-2,2024,236,236,1,236,1,236,1,246,0,236,1,seed0,firstk,seed0_firstk_results.json
2024-II-3,2024,45,,0,37,0,45,1,45,1,45,1,seed0,firstk,seed0_firstk_results.json
2024-II-4,2024,33,33,1,33,1,33,1,33,1,33,1,seed0,firstk,seed0_firstk_results.json
2024-II-5,2024,80,80,1,80,1,80,1,80,1,80,1,seed0,firstk,seed0_firstk_results.json
2024-II-6,2024,55,55,1,55,1,55,1,55,1,,0,seed0,firstk,seed0_firstk_results.json
2024-II-7,2024,699,699,1,699,1,699,1,699,1,699,1,seed0,firstk,seed0_firstk_results.json
2024-II-8,2024,127,,0,10,0,19,0,7,0,,0,seed0,firstk,seed0_firstk_results.json
2024-II-9,2024,902,1024,0,256,0,901,0,900,0,2,0,seed0,firstk,seed0_firstk_results.json
21,2025,237,237,1,237,1,237,1,237,1,237,1,seed0,firstk,seed0_firstk_results.json
22,2025,610,610,1,514,0,600,0,600,0,600,0,seed0,firstk,seed0_firstk_results.json
23,2025,149,149,1,159,0,150,0,149,1,149,1,seed0,firstk,seed0_firstk_results.json
24,2025,907,779,0,335,0,907,1,381,0,947,0,seed0,firstk,seed0_firstk_results.json
25,2025,113,1,0,21,0,1,0,1,0,1,0,seed0,firstk,seed0_firstk_results.json
26,2025,19,19,1,19,1,718,0,19,1,19,1,seed0,firstk,seed0_firstk_results.json
27,2025,248,36,0,589,0,,0,424,0,208,0,seed0,firstk,seed0_firstk_results.json
28,2025,104,140,0,104,1,84,0,,0,104,1,seed0,firstk,seed0_firstk_results.json
29,2025,240,,0,188,0,188,0,188,0,216,0,seed0,firstk,seed0_firstk_results.json
3,2025,106,106,1,106,1,106,1,106,1,106,1,seed0,firstk,seed0_firstk_results.json
4,2025,336,300,0,303,0,548,0,816,0,336,1,seed0,firstk,seed0_firstk_results.json
5,2025,293,389,0,293,1,2921,0,73,0,73,0,seed0,firstk,seed0_firstk_results.json
6,2025,237,237,1,,0,,0,40959,0,,0,seed0,firstk,seed0_firstk_results.json
7,2025,610,600,0,610,1,610,1,610,1,610,1,seed0,firstk,seed0_firstk_results.json
8,2025,149,149,1,149,1,159,0,149,1,159,0,seed0,firstk,seed0_firstk_results.json
9,2025,907,896,0,570,0,237,0,907,1,907,1,seed0,firstk,seed0_firstk_results.json
0,2025,468,468,1,468,1,468,1,468,1,468,1,seed0,lastk,seed0_lastk_results.json
1,2025,49,49,1,49,1,49,1,49,1,49,1,seed0,lastk,seed0_lastk_results.json
10,2025,113,12,0,6,0,1,0,6,0,6,0,seed0,lastk,seed0_lastk_results.json
11,2025,19,71,0,19,1,19,1,19,1,19,1,seed0,lastk,seed0_lastk_results.json
12,2025,248,396,0,396,0,208,0,208,0,208,0,seed0,lastk,seed0_lastk_results.json
13,2025,104,104,1,104,1,104,1,104,1,104,1,seed0,lastk,seed0_lastk_results.json
14,2025,240,286,0,286,0,286,0,286,0,286,0,seed0,lastk,seed0_lastk_results.json
15,2025,468,468,1,468,1,468,1,468,1,468,1,seed0,lastk,seed0_lastk_results.json
16,2025,49,49,1,49,1,49,1,49,1,49,1,seed0,lastk,seed0_lastk_results.json
17,2025,82,12,0,82,1,60,0,60,0,60,0,seed0,lastk,seed0_lastk_results.json
18,2025,106,993,0,106,1,106,1,106,1,106,1,seed0,lastk,seed0_lastk_results.json
19,2025,336,300,0,501,0,300,0,501,0,333,0,seed0,lastk,seed0_lastk_results.json
2,2025,82,6,0,6,0,6,0,6,0,6,0,seed0,lastk,seed0_lastk_results.json
20,2025,293,581,0,293,1,581,0,581,0,581,0,seed0,lastk,seed0_lastk_results.json
2024-I-1,2024,204,204,1,204,1,204,1,204,1,204,1,seed0,lastk,seed0_lastk_results.json
2024-I-10,2024,113,113,1,113,1,113,1,113,1,113,1,seed0,lastk,seed0_lastk_results.json
2024-I-11,2024,371,137,0,137,0,139,0,139,0,139,0,seed0,lastk,seed0_lastk_results.json
2024-I-12,2024,385,72,0,72,0,72,0,72,0,72,0,seed0,lastk,seed0_lastk_results.json
2024-I-13,2024,110,110,1,110,1,110,1,110,1,110,1,seed0,lastk,seed0_lastk_results.json
2024-I-14,2024,104,104,1,7,0,104,1,104,1,104,1,seed0,lastk,seed0_lastk_results.json
2024-I-15,2024,721,721,1,721,1,721,1,721,1,721,1,seed0,lastk,seed0_lastk_results.json
2024-I-2,2024,25,25,1,25,1,25,1,25,1,25,1,seed0,lastk,seed0_lastk_results.json
2024-I-3,2024,809,809,1,809,1,809,1,809,1,809,1,seed0,lastk,seed0_lastk_results.json
