problem_id,seed,experiment_type,iteration_0_completion_tokens,iteration_1_completion_tokens,iteration_2_completion_tokens,iteration_3_completion_tokens,iteration_4_completion_tokens
0,seed0,backtracking,4685.0,3078,3092,3896,3117
1,seed0,backtracking,2916.0,2175,2277,1952,2563
10,seed0,backtracking,14605.0,15234,6883,5892,8657
11,seed0,backtracking,22273.0,9692,6597,6509,12464
12,seed0,backtracking,23767.0,25494,15837,19914,23943
13,seed0,backtracking,8871.0,11484,4480,3907,3269
14,seed0,backtracking,27238.0,18894,9344,16017,19725
15,seed0,backtracking,4024.0,3021,2714,3632,2957
16,seed0,backtracking,2103.0,1931,1924,1511,1890
17,seed0,backtracking,28432.0,15709,12660,12474,15727
18,seed0,backtracking,3822.0,4215,3669,3109,2693
19,seed0,backtracking,15869.0,16873,9278,6675,4615
2,seed0,backtracking,22490.0,16801,14396,17378,14389
20,seed0,backtracking,11677.0,19870,18856,21739,18662
2024-I-1,seed0,backtracking,3785.0,2941,2592,2237,2451
2024-I-10,seed0,backtracking,18091.0,8407,11132,28153,11848
2024-I-11,seed0,backtracking,11407.0,16451,20653,20224,14309
2024-I-12,seed0,backtracking,15581.0,14372,10595,11420,8654
2024-I-13,seed0,backtracking,9952.0,4919,2602,2853,5070
2024-I-14,seed0,backtracking,13111.0,4229,3737,20559,9058
2024-I-15,seed0,backtracking,6745.0,5437,3682,5008,3175
2024-I-2,seed0,backtracking,8744.0,8922,6729,2324,5097
2024-I-3,seed0,backtracking,5380.0,2514,2438,2465,2155
2024-I-4,seed0,backtracking,2818.0,2547,1830,2238,1926
2024-I-5,seed0,backtracking,8556.0,22198,20243,8067,5763
2024-I-6,seed0,backtracking,2630.0,3253,2525,1719,1812
2024-I-7,seed0,backtracking,5998.0,3123,2641,5396,2347
2024-I-8,seed0,backtracking,26011.0,17324,9981,9255,12842
2024-I-9,seed0,backtracking,10258.0,8308,4413,4371,2849
2024-II-1,seed0,backtracking,4018.0,3457,2957,2531,4589
2024-II-10,seed0,backtracking,8520.0,8692,4829,5703,5135
2024-II-11,seed0,backtracking,21785.0,17671,5505,4199,4058
2024-II-12,seed0,backtracking,7894.0,7039,3371,2735,5178
2024-II-13,seed0,backtracking,6317.0,8839,3918,3889,3582
2024-II-14,seed0,backtracking,30294.0,20886,14209,14340,6039
2024-II-15,seed0,backtracking,13911.0,12675,13376,10721,16017
2024-II-2,seed0,backtracking,10094.0,5651,5380,4131,3561
2024-II-3,seed0,backtracking,20670.0,3791,4558,4701,1994
2024-II-4,seed0,backtracking,3631.0,2910,3396,3480,2534
2024-II-5,seed0,backtracking,13799.0,5042,4734,3270,4305
2024-II-6,seed0,backtracking,3068.0,3000,2464,2278,2446
2024-II-7,seed0,backtracking,10052.0,8800,18948,4890,3856
2024-II-8,seed0,backtracking,32000.0,22092,22591,20448,4736
2024-II-9,seed0,backtracking,32000.0,32000,14741,19123,32000
21,seed0,backtracking,7030.0,5731,12232,4488,5456
22,seed0,backtracking,10965.0,8540,6265,5591,3622
23,seed0,backtracking,6968.0,8256,6008,3688,5125
24,seed0,backtracking,21898.0,14115,15848,21034,21886
25,seed0,backtracking,13981.0,10142,12211,17415,10770
26,seed0,backtracking,9547.0,30577,5966,7670,6770
27,seed0,backtracking,25213.0,19131,30837,8989,6441
28,seed0,backtracking,18625.0,14968,6812,5882,4251
29,seed0,backtracking,32000.0,32000,20628,29749,17324
3,seed0,backtracking,4472.0,3109,3019,2834,2691
4,seed0,backtracking,14677.0,10049,21428,11351,3028
5,seed0,backtracking,26645.0,24831,24148,7910,23787
6,seed0,backtracking,6401.0,5016,5748,11751,4201
7,seed0,backtracking,15132.0,9468,9423,13085,14903
8,seed0,backtracking,7391.0,6279,5217,3082,4044
9,seed0,backtracking,18934.0,26615,18749,13288,18281
0,seed0,base_sum,4685.0,3064,2925,2786,3534
1,seed0,base_sum,2916.0,3683,2112,2254,2113
10,seed0,base_sum,14605.0,10525,9271,3645,3627
11,seed0,base_sum,22273.0,16465,17249,16928,4844
12,seed0,base_sum,23767.0,9983,6789,5068,10057
13,seed0,base_sum,8871.0,7918,11741,6633,8033
14,seed0,base_sum,27238.0,11268,6563,7982,7436
15,seed0,base_sum,4024.0,3649,3199,3644,3265
16,seed0,base_sum,2103.0,1694,2064,1733,1823
17,seed0,base_sum,28432.0,17461,21372,15224,19531
18,seed0,base_sum,3822.0,8581,9691,4214,2713
19,seed0,base_sum,15869.0,18023,12899,20309,13754
2,seed0,base_sum,22490.0,15123,17015,11553,5402
20,seed0,base_sum,11677.0,17077,6982,5158,20206
2024-I-1,seed0,base_sum,3785.0,3082,3830,1905,2731
2024-I-10,seed0,base_sum,18091.0,12181,12022,23309,8656
2024-I-11,seed0,base_sum,11407.0,6878,5722,9904,15896
2024-I-12,seed0,base_sum,15581.0,13256,11313,10933,12455
2024-I-13,seed0,base_sum,9952.0,3925,7463,3471,5238
2024-I-14,seed0,base_sum,13111.0,6621,4469,3753,10657
2024-I-15,seed0,base_sum,6745.0,3974,3309,5771,4713
2024-I-2,seed0,base_sum,8744.0,5145,4575,6484,5148
2024-I-3,seed0,base_sum,5380.0,3075,2817,2348,2746
2024-I-4,seed0,base_sum,2818.0,2094,1719,1580,1757
2024-I-5,seed0,base_sum,8556.0,15469,11301,8533,4225
2024-I-6,seed0,base_sum,2630.0,4930,4770,3887,2945
2024-I-7,seed0,base_sum,5998.0,3690,3665,4497,3319
2024-I-8,seed0,base_sum,26011.0,25322,18462,8837,11822
2024-I-9,seed0,base_sum,10258.0,10113,7016,3048,9651
2024-II-1,seed0,base_sum,4018.0,3602,3215,4259,3789
2024-II-10,seed0,base_sum,8520.0,6025,11472,7304,5064
2024-II-11,seed0,base_sum,21785.0,6074,7764,4892,5045
2024-II-12,seed0,base_sum,7894.0,4735,4631,3126,1614
2024-II-13,seed0,base_sum,6317.0,3519,2645,4063,3457
2024-II-14,seed0,base_sum,30294.0,19740,17131,5014,7327
2024-II-15,seed0,base_sum,13911.0,11896,16925,15027,12004
2024-II-2,seed0,base_sum,10094.0,5934,4989,4136,4491
2024-II-3,seed0,base_sum,20670.0,3455,4386,4344,4334
2024-II-4,seed0,base_sum,3631.0,3240,2516,4418,3171
2024-II-5,seed0,base_sum,13799.0,6170,13185,6632,8584
2024-II-6,seed0,base_sum,3068.0,1945,3695,2847,3111
2024-II-7,seed0,base_sum,10052.0,10196,5745,8113,6999
2024-II-8,seed0,base_sum,32000.0,21263,24628,28061,17445
2024-II-9,seed0,base_sum,32000.0,10368,7252,4192,6558
21,seed0,base_sum,7030.0,10474,4277,6319,17682
22,seed0,base_sum,10965.0,7668,6869,3521,2870
23,seed0,base_sum,6968.0,4371,3199,4389,4617
24,seed0,base_sum,21898.0,18099,15686,13238,17593
25,seed0,base_sum,13981.0,18905,10535,9309,9807
26,seed0,base_sum,9547.0,16015,6222,8580,5283
27,seed0,base_sum,25213.0,19966,27161,18592,19624
28,seed0,base_sum,18625.0,12423,5406,9515,4235
29,seed0,base_sum,32000.0,12883,14223,19668,14849
3,seed0,base_sum,4472.0,3325,3667,2970,3000
4,seed0,base_sum,14677.0,15374,11435,17513,19945
5,seed0,base_sum,26645.0,28171,21909,32000,16325
6,seed0,base_sum,6401.0,12392,8112,32000,10361
7,seed0,base_sum,15132.0,16912,10001,8898,6166
8,seed0,base_sum,7391.0,5629,3878,2249,2900
9,seed0,base_sum,18934.0,20122,19261,19071,11283
0,seed0,firstk,4685.0,3903,3357,3185,2581
1,seed0,firstk,2916.0,3192,2239,2673,2744
10,seed0,firstk,14605.0,12464,6243,8372,13632
11,seed0,firstk,22273.0,11168,6502,11481,28508
12,seed0,firstk,23767.0,31940,21575,23593,24735
13,seed0,firstk,8871.0,9682,20448,7686,10125
14,seed0,firstk,27238.0,15960,13717,12445,13091
15,seed0,firstk,4024.0,3765,2777,9977,2789
16,seed0,firstk,2103.0,2420,1751,2089,3047
17,seed0,firstk,28432.0,15755,19331,10420,22173
18,seed0,firstk,3822.0,3165,4040,2375,2895
19,seed0,firstk,15869.0,11912,15120,12006,13412
2,seed0,firstk,22490.0,16354,13282,19115,26197
20,seed0,firstk,11677.0,25134,15178,18366,20977
2024-I-1,seed0,firstk,3785.0,4042,1607,2893,3281
2024-I-10,seed0,firstk,18091.0,23736,11022,5516,26024
2024-I-11,seed0,firstk,11407.0,20149,19729,17366,18626
2024-I-12,seed0,firstk,15581.0,6753,7141,14054,7173
2024-I-13,seed0,firstk,9952.0,6548,6108,8518,7764
2024-I-14,seed0,firstk,13111.0,5523,7511,13580,10510
2024-I-15,seed0,firstk,6745.0,8253,18839,8347,6858
2024-I-2,seed0,firstk,8744.0,7509,1238,1551,5872
2024-I-3,seed0,firstk,5380.0,4035,3116,3672,2805
2024-I-4,seed0,firstk,2818.0,2208,2132,1974,3161
