problem_id,year_seed,base_year,seed,majority_voted_answer,answer_frequencies,ground_truth_answer,tie_in_majority_vote,self_consistent
2024-I-4,2024_s2,2024,s2,116,{'116': 5},116,False,1
2024-II-4,2024_s2,2024,s2,33,{'33': 5},33,False,1
2024-I-3,2024_s2,2024,s2,809,{'809': 5},809,False,1
2024-II-12,2024_s2,2024,s2,23,"{'6': 1, '23': 4}",23,False,1
2024-I-11,2024_s2,2024,s2,2,"{'2': 2, '6': 1, '17': 1, '8': 1}",371,False,0
2024-I-8,2024_s2,2024,s2,1,"{'1': 2, '180': 1, '2': 1, '197': 1}",197,False,0
2024-II-11,2024_s2,2024,s2,200,"{'200': 1, '100': 1, '0': 1, '300': 1, '601': 1}",601,True,0
2024-I-12,2024_s2,2024,s2,1,"{'0': 1, '1': 2, '4': 1, '5': 1}",385,False,0
2024-I-2,2024_s2,2024,s2,25,"{'25': 4, '45': 1}",25,False,1
2024-II-6,2024_s2,2024,s2,55,{'55': 5},55,False,1
2024-I-7,2024_s2,2024,s2,540,{'540': 5},540,False,1
2024-I-1,2024_s2,2024,s2,204,{'204': 5},204,False,1
2024-I-6,2024_s2,2024,s2,294,{'294': 5},294,False,1
2024-II-3,2024_s2,2024,s2,45,"{'7': 1, '45': 3, '09': 1}",45,False,1
2024-I-13,2024_s2,2024,s2,110,"{'110': 4, '289': 1}",110,False,1
2024-II-10,2024_s2,2024,s2,468,"{'468': 4, '520': 1}",468,False,1
2024-II-7,2024_s2,2024,s2,6,"{'6': 2, '9': 1, '5': 1, '4': 1}",699,False,0
2024-I-15,2024_s2,2024,s2,06,"{'06': 1, '23': 1, '2': 1, '5': 1, '3': 1}",721,True,0
2024-II-15,2024_s2,2024,s2,1,"{'5': 1, '1': 2, '2': 1, '72': 1}",315,False,0
2024-II-9,2024_s2,2024,s2,2,"{'2': 1, '1800': 1, '25': 1, '15': 1, '5': 1}",902,True,0
2024-II-1,2024_s2,2024,s2,73,{'73': 5},73,False,1
2024-II-14,2024_s2,2024,s2,1,"{'12': 1, '1': 2, '2': 1, '3': 1}",211,False,0
2024-II-5,2024_s2,2024,s2,0,"{'80': 1, '1': 1, '200': 1, '0': 2}",80,False,0
2024-II-2,2024_s2,2024,s2,236,"{'2': 1, '236': 2, '4': 1, '246': 1}",236,False,1
2024-I-9,2024_s2,2024,s2,480,{'480': 5},480,False,1
2024-I-10,2024_s2,2024,s2,10,"{'10': 1, '240': 1, '489': 1, '769': 1, '41': 1}",113,True,0
2024-II-8,2024_s2,2024,s2,0,"{'0': 2, '11': 1, '2': 1, '132': 1}",127,False,0
2024-I-14,2024_s2,2024,s2,104,"{'104': 2, '427': 1, '80': 1, '91222': 1}",104,False,1
2024-I-5,2024_s2,2024,s2,104,"{'104': 2, '0': 2, '203': 1}",104,True,1
2024-II-13,2024_s2,2024,s2,321,"{'321': 4, '12': 1}",321,False,1
1,2025_s2,2025,s2,49,{'49': 5},49,False,1
0,2025_s2,2025,s2,468,{'468': 5},468,False,1
3,2025_s2,2025,s2,106,"{'1489': 2, '106': 3}",106,False,1
2,2025_s2,2025,s2,2,"{'2': 2, '4': 2, '1': 1}",82,True,0
4,2025_s2,2025,s2,2,"{'2': 2, '388': 1, '908': 1, '0358': 1}",336,False,0
8,2025_s2,2025,s2,149,"{'149': 4, '150': 1}",149,False,1
5,2025_s2,2025,s2,293,"{'293': 1, '5': 1, '0': 1, '12': 1, '216': 1}",293,True,1
6,2025_s2,2025,s2,3,"{'3': 2, '904': 1, '60671': 1, '237': 1}",237,False,0
7,2025_s2,2025,s2,35,"{'35': 1, '2': 1, '4': 1, '3': 1, '0': 1}",610,True,0
9,2025_s2,2025,s2,14,"{'0': 1, '1': 1, '14': 2, '8': 1}",907,False,0
10,2025_s2,2025,s2,13,"{'13': 1, '2': 1, '1': 1, '11585': 1, '554': 1}",113,True,0
15,2025_s2,2025,s2,468,{'468': 5},468,False,1
16,2025_s2,2025,s2,49,{'49': 5},49,False,1
11,2025_s2,2025,s2,5,"{'5': 1, '13': 1, '2': 1, '11': 1, '0': 1}",19,True,0
18,2025_s2,2025,s2,106,"{'106': 4, '70': 1}",106,False,1
12,2025_s2,2025,s2,3,"{'19': 1, '3': 2, '208': 1, '951': 1}",248,False,0
13,2025_s2,2025,s2,104,"{'104': 4, '112': 1}",104,False,1
14,2025_s2,2025,s2,188,"{'188': 3, '1': 1, '144': 1}",240,False,0
17,2025_s2,2025,s2,82,"{'82': 1, '100': 1, '70': 1, '64': 1, '6': 1}",82,True,1
19,2025_s2,2025,s2,345,"{'345': 1, '340': 1, '216': 1, '360': 1, '348': 1}",336,True,0
20,2025_s2,2025,s2,293,"{'293': 4, '217': 1}",293,False,1
21,2025_s2,2025,s2,237,{'237': 5},237,False,1
22,2025_s2,2025,s2,600,{'600': 5},610,False,0
23,2025_s2,2025,s2,149,"{'150': 2, '149': 3}",149,False,1
24,2025_s2,2025,s2,907,"{'1': 1, '907': 4}",907,False,1
25,2025_s2,2025,s2,105,"{'105': 1, '12': 1, '23169': 1, '021': 1, '1': 1}",113,True,0
26,2025_s2,2025,s2,19,"{'19': 4, '39': 1}",19,False,1
27,2025_s2,2025,s2,208,"{'724': 1, '208': 3, '62208': 1}",248,False,0
28,2025_s2,2025,s2,104,"{'104': 3, '100': 1, '101': 1}",104,False,1
29,2025_s2,2025,s2,328,"{'328': 1, '188': 1, '246': 1, '244': 1, '324': 1}",240,True,0
