problem_id,year_seed,base_year,seed,majority_voted_answer_by_index,answer_frequencies,ground_truth_answer,tie_in_frequency,self_consistent_score
2024-II-4,2024_s3,2024,s3,33,{'33': 5},33,False,1.0
2024-II-12,2024_s3,2024,s3,23,{'23': 5},23,False,1.0
2024-I-4,2024_s3,2024,s3,116,{'116': 5},116,False,1.0
2024-I-3,2024_s3,2024,s3,809,{'809': 5},809,False,1.0
2024-I-8,2024_s3,2024,s3,254,"{'254': 1, '197': 1, '2929': 1, '144': 1, '103': 1}",197,True,0.2
2024-I-12,2024_s3,2024,s3,72,"{'72': 2, '100': 1, '12': 1, '24': 1}",385,False,0.0
2024-I-11,2024_s3,2024,s3,259,"{'259': 1, '419': 1, '53': 1, '33': 1, '273': 1}",371,True,0.0
2024-II-11,2024_s3,2024,s3,601,"{'401': 1, '15': 1, '601': 2, '7': 1}",601,False,1.0
2024-I-2,2024_s3,2024,s3,25,{'25': 5},25,False,1.0
2024-II-6,2024_s3,2024,s3,55,{'55': 5},55,False,1.0
2024-I-7,2024_s3,2024,s3,540,"{'540': 4, '555': 1}",540,False,1.0
2024-II-3,2024_s3,2024,s3,45,"{'1': 1, '9': 1, '54': 1, '45': 2}",45,False,1.0
2024-I-1,2024_s3,2024,s3,204,{'204': 5},204,False,1.0
2024-II-7,2024_s3,2024,s3,699,{'699': 5},699,False,1.0
2024-I-6,2024_s3,2024,s3,294,{'294': 5},294,False,1.0
2024-I-13,2024_s3,2024,s3,110,"{'134': 1, '110': 3, '24': 1}",110,False,1.0
2024-I-15,2024_s3,2024,s3,721,{'721': 5},721,False,1.0
2024-II-15,2024_s3,2024,s3,144,"{'144': 1, '9': 1, '12': 1, '1': 1, '1194': 1}",315,True,0.0
2024-II-10,2024_s3,2024,s3,468,{'468': 5},468,False,1.0
2024-II-9,2024_s3,2024,s3,1024,"{'1024': 1, '12': 1, '35': 1, '1': 1, '100': 1}",902,True,0.0
2024-II-14,2024_s3,2024,s3,211,{'211': 5},211,False,1.0
2024-II-5,2024_s3,2024,s3,80,"{'60': 2, '80': 3}",80,False,1.0
2024-I-9,2024_s3,2024,s3,480,"{'480': 3, '79': 1, '479': 1}",480,False,1.0
2024-II-2,2024_s3,2024,s3,236,"{'208': 1, '236': 4}",236,False,1.0
2024-II-1,2024_s3,2024,s3,73,{'73': 5},73,False,1.0
2024-I-10,2024_s3,2024,s3,113,{'113': 5},113,False,1.0
2024-II-8,2024_s3,2024,s3,7,"{'47': 1, '7': 3, '127': 1}",127,False,0.0
2024-I-14,2024_s3,2024,s3,104,{'104': 5},104,False,1.0
2024-I-5,2024_s3,2024,s3,104,"{'2': 1, '291': 1, '104': 2, '107': 1}",104,False,1.0
2024-II-13,2024_s3,2024,s3,321,{'321': 5},321,False,1.0
0,2025_s3,2025,s3,468,{'468': 5},468,False,1.0
1,2025_s3,2025,s3,49,{'49': 5},49,False,1.0
2,2025_s3,2025,s3,82,"{'82': 2, '64': 2, '6': 1}",82,True,0.4
3,2025_s3,2025,s3,106,{'106': 5},106,False,1.0
4,2025_s3,2025,s3,336,"{'353': 1, '336': 2, '327': 1, '192': 1}",336,False,1.0
5,2025_s3,2025,s3,293,"{'293': 4, '223': 1}",293,False,1.0
6,2025_s3,2025,s3,237,"{'237': 4, '60671': 1}",237,False,1.0
7,2025_s3,2025,s3,610,"{'610': 3, '600': 1, '3': 1}",610,False,1.0
8,2025_s3,2025,s3,149,"{'159': 2, '149': 3}",149,False,1.0
9,2025_s3,2025,s3,907,"{'907': 3, '800': 1, '994': 1}",907,False,1.0
10,2025_s3,2025,s3,585,"{'585': 1, '23': 1, '23169': 1, '1': 1, '65': 1}",113,True,0.0
11,2025_s3,2025,s3,19,"{'128': 1, '19': 3, '82': 1}",19,False,1.0
12,2025_s3,2025,s3,208,"{'724': 1, '208': 2, '894': 1, '36': 1}",248,False,0.0
13,2025_s3,2025,s3,104,{'104': 5},104,False,1.0
14,2025_s3,2025,s3,188,"{'216': 2, '188': 3}",240,False,0.0
15,2025_s3,2025,s3,468,{'468': 5},468,False,1.0
16,2025_s3,2025,s3,49,{'49': 5},49,False,1.0
17,2025_s3,2025,s3,82,"{'82': 1, '082': 1, '64': 1, '24': 1, '60': 1}",82,True,0.2
18,2025_s3,2025,s3,106,{'106': 5},106,False,1.0
19,2025_s3,2025,s3,336,"{'336': 3, '180': 1, '332': 1}",336,False,1.0
20,2025_s3,2025,s3,293,"{'1469': 1, '626': 1, '293': 2, '73': 1}",293,False,1.0
21,2025_s3,2025,s3,237,"{'237': 3, '2': 1, '999': 1}",237,False,1.0
22,2025_s3,2025,s3,610,"{'610': 3, '600': 2}",610,False,1.0
23,2025_s3,2025,s3,149,"{'149': 4, '150': 1}",149,False,1.0
24,2025_s3,2025,s3,907,"{'907': 3, '845': 1, '715': 1}",907,False,1.0
25,2025_s3,2025,s3,1,"{'13': 1, '1': 2, '4096': 1, '2': 1}",113,False,0.0
26,2025_s3,2025,s3,19,{'19': 5},19,False,1.0
27,2025_s3,2025,s3,208,"{'208': 3, '724': 1, '736': 1}",248,False,0.0
28,2025_s3,2025,s3,104,"{'104': 3, '106': 1, '147': 1}",104,False,1.0
29,2025_s3,2025,s3,216,"{'216': 1, '244': 1, '376': 1, '214': 1, '188': 1}",240,True,0.0
